time_c,ECG data
3.292,1717.306878
3.296,1623.653069
3.3,1585.945676
3.304,1571.305283
3.308,1517.102303
3.312,1426.890663
3.316,1356.393261
3.32,1345.932644
3.324,1365.8704
3.328,1358.226104
3.332,1327.023068
3.336,1334.421496
3.34,1420.45336
3.344,1537.956481
3.348,1631.7444
3.352,1696.586811
3.356,1772.113356
3.36,1903.318096
3.364,2049.274987
3.368,2151.802439
3.372,2204.619611
3.376,2255.268664
3.38,2346.083802
3.384,2442.397468
3.388,2492.64419
3.392,2490.319608
3.396,2486.139832
3.4,2535.358374
3.404,2599.418473
3.408,2613.34361
3.412,2581.82765
3.416,2558.939464
3.42,2589.136671
3.424,2634.890692
3.428,2640.925663
3.432,2604.447616
3.436,2572.126993
3.44,2596.468043
3.444,2638.84695
3.448,2641.573863
3.452,2598.814976
3.456,2565.108545
3.46,2588.287304
3.464,2629.123942
3.468,2629.727439
3.472,2589.315485
3.476,2552.47981
3.48,2576.262066
3.484,2619.512691
3.488,2625.25709
3.492,2587.549697
3.496,2551.630444
3.5,2571.679958
3.504,2617.411627
3.508,2628.252224
3.512,2590.433072
3.516,2558.89476
3.52,2581.939409
3.524,2621.92668
3.528,2628.72161
3.532,2590.656589
3.536,2555.720813
3.54,2579.346607
3.544,2622.530177
3.548,2628.788665
3.552,2593.718778
3.556,2557.844228
3.56,2574.876258
3.564,2622.641936
3.568,2634.398953
3.572,2602.70418
3.576,2569.936522
3.58,2586.700331
3.584,2628.967479
3.588,2637.662308
3.592,2602.011276
3.596,2571.009406
3.6,2591.595363
3.604,2636.298852
3.608,2643.563168
3.612,2608.426226
3.616,2572.574028
3.62,2593.204688
3.624,2644.546645
3.628,2658.650596
3.632,2624.273613
3.636,2586.610924
3.64,2607.733322
3.644,2658.31532
3.648,2671.838125
3.652,2643.026727
3.656,2606.54868
3.66,2626.777008
3.664,2677.716634
3.668,2691.418253
3.672,2660.75166
3.676,2634.35425
3.68,2652.973253
3.684,2705.276335
3.688,2724.588242
3.692,2677.895448
3.696,2624.184206
3.7,2636.455314
3.704,2664.283236
3.708,2658.158858
3.712,2612.024857
3.716,2566.047319
3.72,2587.013255
3.724,2630.777971
3.728,2643.630224
3.732,2627.17934
3.736,2600.267839
3.74,2621.613755
3.744,2667.188962
3.748,2684.824489
3.752,2652.839142
3.756,2615.690543
3.76,2620.51852
3.764,2663.478573
3.768,2681.158803
3.772,2645.172494
3.776,2607.643915
3.78,2630.397991
3.784,2679.482422
3.788,2690.34537
3.792,2654.180247
3.796,2613.924755
3.8,2631.202654
3.804,2677.314303
3.808,2687.238477
3.812,2654.135544
3.816,2622.686639
3.82,2669.602951
3.824,2774.298522
3.828,2867.862924
3.832,2875.75309
3.836,2846.002918
3.84,2762.273283
3.844,2569.802412
3.848,2172.768375
3.852,1560.688205
3.856,1203.328514
3.86,1347.519618
3.864,1878.395901
3.868,2561.331101
3.872,2810.731865
3.876,2627.984003
3.88,2501.450777
3.884,2450.86878
3.888,2432.115666
3.892,2411.28384
3.896,2407.551099
3.9,2442.442172
3.904,2494.94642
3.908,2506.61403
3.912,2471.767661
3.916,2429.031125
3.92,2433.166198
3.924,2469.912466
3.928,2473.689911
3.932,2428.874663
3.936,2377.84563
3.94,2380.773709
3.944,2418.235233
3.948,2424.650183
3.952,2385.333465
3.956,2332.538644
3.96,2328.51533
3.964,2356.119735
3.968,2351.068241
3.972,2304.353095
3.976,2247.892588
3.98,2233.56512
3.984,2248.652547
3.988,2236.917882
3.992,2173.103651
3.996,2100.929868
4,2074.68892
4.004,2078.131089
4.008,2046.637481
4.012,1966.841753
4.016,1873.545572
4.02,1824.438789
4.024,1809.619583
4.028,1760.222228
4.032,1663.997968
4.036,1555.569655
4.04,1499.757349
4.044,1479.707835
4.048,1434.825532
4.052,1350.559455
4.056,1265.578123
4.06,1234.822122
4.064,1253.195256
4.068,1252.949387
4.072,1223.109808
4.076,1207.597698
4.08,1264.728757
4.084,1379.996703
4.088,1482.658265
4.092,1558.31892
4.096,1634.091334
4.1,1755.371899
4.104,1906.670857
4.108,2027.482036
4.112,2091.832708
4.116,2136.424439
4.12,2223.506835
4.124,2333.723287
4.128,2406.120587
4.132,2422.079733
4.136,2416.5365
4.14,2447.605425
4.144,2510.212661
4.148,2539.202874
4.152,2521.85792
4.156,2492.577135
4.16,2503.529489
4.164,2555.519647
4.168,2578.184316
4.172,2550.915188
4.176,2512.783112
4.18,2521.746161
4.184,2564.773269
4.188,2581.69354
4.192,2552.077478
4.196,2510.682048
